document,year,doc_type,page_number,category,has_investment_amount,pattern_matched,context
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,2,Initiative,False,launch,"rned to be math teachers.  You had to say goodbye to colleagues and cut your hours and pay, but you launched a feature-length, award- winning film and exciting new products. The carbon neutrality announceme"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,2,Initiative,False,announce,"you launched a feature-length, award- winning film and exciting new products. The carbon neutrality announcement by Japan’s government presents  the biggest call to action in our history of doing business the"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,2,Initiative,False,implement, protect our planet. You delivered a  comprehensive justice and antiracism strategy that we are now implementing across the company.   Scientific breakthroughs are helping us to get back to important in-person
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,3,Initiative,False,implement,"’ve done during  our fiscal year 2020 (May 1, 2019 – April 30, 2020) to advance public  benefit and implement our specific benefit purposes. 3"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,6,Initiative,False,program,"ue of other forms of  assistance, given to support environmental work  since we started our tithing program in 1985. 986  Grants funded in FY20. $10,000,000+ In grants made to groups fighting to  protect lan"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,6,Initiative,False,implement," made to groups working to scale many of  the tenets of Regenerative Organic and help more  farmers implement practices to improve soil health. $2,000,000+ In grants made to groups focused on supporting  envir"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,6,Initiative,False,scale,"ts made to groups fighting to stop climate change. $2,500,000+  In grants made to groups working to scale many of  the tenets of Regenerative Organic and help more  farmers implement practices to improve s"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,6,Initiative,True,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)","ade to grassroots environmental grantees  by the end of the year. In 17 days, our community  raised $10 million to support these groups. 100 Percent of stores across the globe that we closed so that  our employe"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,6,Initiative,True,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)","radical action on climate change. 14,000 Hours of skill-based volunteering donated  (valued at over $3M) through Patagonia Action Works. 1% for the Planet"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,Initiative,False,program,"r their labor and  received improved benefits from Patagonia’s  participation in the Fair Trade USA program. 76,562  Number of people who attended Worn Wear Tour  events. Our Worn Wear team goes on the road "
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,Initiative,False,program,"climbing festivals. 3,050 Number of people who attended Worn  Wear Tour events in Korea, where our  program just took root this year. 73%  Percentage of our styles that are Fair Trade  Certified™ sewn, up fr"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,Initiative,False,pilot,". 567 Number of organic cotton farmers  involved in Patagonia’s Regenerative  Organic Certification pilots in India. 47,622 Pounds of old Patagonia garments that could not be  repaired or reused that were "
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,8,Initiative,False,scale,"8 9.12 Average quality score on a 1–10 scale (10 being  best), against our internal Patagonia Design Quality  Attributes rating system. This rat"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,10,Initiative,False,program,"n and food.  1,179,791 Single-occupant-vehicle trip miles  averted through our employee Drive-Less  Program, a 19% increase from FY19.  16 Classrooms in our Child Development  Centers participating in zero-w"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,11,Initiative,False,implement," Best Practices  with Other Companies In support of our commitment to “use business to inspire  and implement solutions to the environmental crisis,” we will  share proprietary information and best practices w"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,12,Initiative,False,investment," creating sustainable materials. 37,056 Pounds of fishing net repurposed into products  through our investment in Bureo, Inc. 88 Speaking engagements—at which  Patagonia employees shared information  related to"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,12,Initiative,False,investment,"ety.  1,500+ Number of households that installed solar energy  through our Tin Shed Ventures' solar investment.  180 Number of companies that attended  Patagonia Korea’s events to learn and  discuss responsible"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,16,Initiative,False,program,"ces. $55,951.25 Dollars invested in employees'  ongoing learning through our  Tuition Reimbursement program. 4,768 Hours employees participated  in Patagonia-arranged volunteer  workdays supporting local  no"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,16,Initiative,False,program,"es  participated in these activities. $152,001 Dollars matched through our  Employee Charity Match  Program. Patagonia matches  charitable contributions made by  employees, doubling the funds  donated to the"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,16,Initiative,False,program,"urs spent volunteering  with environmental groups as  part of Patagonia’s environmental  internship program, which allows  fully paid leave of up to two  months to work for a nonprofit  environmental organiz"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,16,Initiative,True,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)","he early phase of  the COVID-19 pandemic, in  advance of any state or federally  required closures. $4.5 Million Precautionary pay hours paid  to hourly employees who were  unable to go into a Patagonia  facility"
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,17,Initiative,False,program,"ning space on  our Ventura and Reno campuses. $108,734 Subsidies provided for Patagonia  child-care programs. $33,600 Total stipends paid globally for child  care (to employees who don’t have  access to Pata"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,2,Initiative,False,implement,"’ve done during  our fiscal year 2021 (May 1, 2020 – April 30, 2021) to advance public  benefit and implement our specific benefit purposes. 2"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,5,Initiative,False,program,"ue of other forms of  assistance, given to support environmental work  since we started our tithing program in 1985. 705  Grants funded in FY21. $5,700,000+ In grants made to groups fighting to  protect land"
